loan_amount,interest_rate,grade,homeownership,debt_to_income
28000,14.07,C,MORTGAGE,18.01
5000,12.61,C,RENT,5.04
2000,17.09,D,RENT,21.15
21600,6.72,A,RENT,10.16
23000,14.07,C,RENT,57.96
5000,6.72,A,OWN,6.46
24000,13.59,C,MORTGAGE,23.66
20000,11.99,B,MORTGAGE,16.19
20000,13.59,C,MORTGAGE,36.48
6400,6.71,A,RENT,18.91
25000,15.04,C,MORTGAGE,10.45
40000,9.92,B,MORTGAGE,1.82
16000,13.59,C,MORTGAGE,12.06
17000,9.43,B,MORTGAGE,3.67
3000,19.03,D,MORTGAGE,33.98
20000,19.03,D,MORTGAGE,38.46
12000,19.03,D,MORTGAGE,31.22
30000,28.72,F,RENT,20.33
5000,26.77,E,MORTGAGE,9.53
20000,15.05,C,MORTGAGE,18.44
7000,6.08,A,MORTGAGE,15.6
10000,11.98,B,MORTGAGE,32
21050,13.59,C,MORTGAGE,26.53
3500,6.71,A,MORTGAGE,7.27
8000,7.96,A,RENT,17.31
18000,12.61,C,MORTGAGE,14.42
10000,11.98,B,RENT,13.68
3200,7.34,A,RENT,19.38
10000,5.32,A,RENT,11
6000,6.07,A,MORTGAGE,2.88
12000,12.62,C,MORTGAGE,26.25
40000,9.44,B,MORTGAGE,24.9
19000,19.03,D,MORTGAGE,36.75
28000,20.39,D,MORTGAGE,28.3
15000,9.93,B,MORTGAGE,13.82
2400,6.08,A,OWN,0
10000,21.45,D,RENT,10.59
24000,15.04,C,MORTGAGE,17.06
9500,10.42,B,RENT,18.53
30000,12.61,C,RENT,7.1
10000,18.06,D,MORTGAGE,24.79
15000,11.99,B,RENT,15.72
35000,15.05,C,RENT,14.82
10000,15.05,C,RENT,25.89
40000,12.62,C,MORTGAGE,13.51
15000,6.72,A,OWN,10.71
20000,6.71,A,MORTGAGE,2.68
4500,15.05,C,RENT,25.7
16000,9.93,B,RENT,3.64
10000,10.42,B,MORTGAGE,17.24
20000,22.91,E,MORTGAGE,18.72
20600,30.79,G,RENT,19.64
35000,15.05,C,RENT,9.12
10000,6.07,A,MORTGAGE,22.91
12000,6.07,A,MORTGAGE,21.41
1925,17.47,D,OWN,13.05
15000,7.34,A,MORTGAGE,20.16
20000,13.59,C,MORTGAGE,39.08
6000,6.72,A,MORTGAGE,14.62
10000,5.31,A,RENT,11.64
25000,9.93,B,MORTGAGE,12.15
10000,9.92,B,OWN,12.58
6000,9.93,B,RENT,16.73
20000,14.07,C,MORTGAGE,28.13
15000,7.97,A,MORTGAGE,7.89
20000,5.31,A,MORTGAGE,15.42
10500,9.93,B,MORTGAGE,32.4
11400,14.08,C,MORTGAGE,17.28
5500,12.61,C,MORTGAGE,32.06
5000,12.62,C,RENT,3.7
9600,17.47,D,OWN,22.09
15000,12.62,C,RENT,16.26
10000,6.71,A,RENT,8.72
10450,19.42,D,RENT,16.3
7200,12.62,C,MORTGAGE,16.04
35000,14.08,C,MORTGAGE,28.42
4200,10.91,B,RENT,21.94
2400,17.47,D,RENT,19.22
12800,18.06,D,MORTGAGE,37.74
8000,16.02,C,MORTGAGE,15.44
30000,19.03,D,MORTGAGE,18.39
7000,12.62,C,MORTGAGE,27.23
25000,6.07,A,MORTGAGE,11.14
40000,9.43,B,MORTGAGE,1.56
24000,10.42,B,MORTGAGE,17.44
5000,7.96,A,OWN,11.45
40000,13.59,C,MORTGAGE,21.09
15000,15.04,C,MORTGAGE,34.86
5000,12.61,C,OWN,13.77
7000,7.96,A,RENT,9.61
17450,13.58,C,RENT,24.39
30000,16.01,C,MORTGAGE,5.16
15000,22.91,E,OWN,28.53
20000,7.97,A,RENT,20.74
15000,18.06,D,RENT,12.22
12000,6.08,A,MORTGAGE,15.84
16500,5.32,A,RENT,3.82
19200,5.32,A,MORTGAGE,15.48
7050,9.93,B,MORTGAGE,14.16
15000,20,D,MORTGAGE,49.58
11200,15.05,C,OWN,13.27
8000,7.96,A,RENT,16.72
20000,26.77,E,MORTGAGE,18.5
10800,9.44,B,MORTGAGE,15.28
7200,13.59,C,MORTGAGE,19.05
12000,15.04,C,RENT,26.96
20000,5.31,A,MORTGAGE,21.63
7200,14.08,C,MORTGAGE,24.77
6000,13.59,C,RENT,18.36
5000,7.97,A,RENT,18.92
16000,9.93,B,RENT,14.66
15600,6.08,A,MORTGAGE,29.58
10000,21.85,D,RENT,37.83
10000,10.42,B,RENT,13.49
30000,17.47,D,MORTGAGE,29.36
30000,10.9,B,RENT,1.12
16000,6.08,A,MORTGAGE,18.67
20000,12.61,C,RENT,25.23
6275,23.87,E,MORTGAGE,27.56
15000,18.06,D,OWN,26.88
16000,13.59,C,MORTGAGE,21.45
10000,16.02,C,MORTGAGE,15.3
25000,9.93,B,MORTGAGE,16.13
12000,9.92,B,RENT,2.91
6000,7.35,A,RENT,18.55
12000,10.91,B,OWN,9.19
10000,13.59,C,MORTGAGE,8.46
20000,14.07,C,MORTGAGE,9.8
8500,7.34,A,RENT,11.62
36000,15.05,C,OWN,24.31
40000,6.72,A,RENT,14.66
9000,16.01,C,MORTGAGE,22.73
7200,7.34,A,RENT,9.91
6100,23.88,E,RENT,29.47
2250,15.05,C,OWN,27.68
10000,6.72,A,OWN,4.25
25000,21.45,D,OWN,16.97
16000,25.82,E,MORTGAGE,19.44
32000,14.08,C,RENT,6.06
12000,15.05,C,RENT,17.25
10000,9.44,B,RENT,23.33
2200,17.09,D,MORTGAGE,33.19
4800,16.01,C,RENT,19.93
35000,10.9,B,MORTGAGE,15.31
35000,12.62,C,RENT,22.88
10000,21.45,D,OWN,14.4
2400,10.41,B,MORTGAGE,6.11
19600,5.32,A,RENT,18.65
26000,21.85,D,MORTGAGE,27.08
12000,18.06,D,MORTGAGE,11.73
13000,5.32,A,RENT,7.82
11750,17.09,D,RENT,18.88
30000,9.93,B,MORTGAGE,20.78
7000,6.08,A,RENT,19.42
20000,17.09,D,RENT,NA
35000,16.01,C,RENT,0.33
10000,13.59,C,MORTGAGE,8.56
20000,9.92,B,OWN,14.16
40000,15.04,C,MORTGAGE,12.89
12000,6.71,A,MORTGAGE,9.92
16000,17.47,D,RENT,7.2
10000,11.99,B,MORTGAGE,27.06
10000,13.59,C,RENT,13.3
15000,7.35,A,MORTGAGE,24.99
24000,10.42,B,MORTGAGE,0.54
40000,7.97,A,MORTGAGE,16.72
25000,9.92,B,MORTGAGE,10.62
32175,12.61,C,MORTGAGE,39.34
25000,9.93,B,MORTGAGE,14.23
24000,14.07,C,RENT,21.79
15000,14.08,C,OWN,5.96
36000,12.62,C,MORTGAGE,22.49
20000,16.02,C,RENT,17.28
30000,14.07,C,MORTGAGE,29.38
11000,18.06,D,MORTGAGE,24.57
15000,14.08,C,RENT,21.3
13500,16.02,C,RENT,8.63
10000,11.99,B,MORTGAGE,8.66
25000,6.72,A,OWN,26.49
25000,19.03,D,MORTGAGE,8.37
28000,6.71,A,OWN,11.33
10000,6.07,A,RENT,15.48
10000,7.35,A,MORTGAGE,16.95
10000,13.59,C,RENT,27.93
2500,13.59,C,RENT,5.87
6500,5.31,A,OWN,12.42
10000,7.97,A,RENT,13.04
14500,7.35,A,MORTGAGE,40.15
40000,11.99,B,RENT,11.88
16000,16.02,C,RENT,25.41
14000,9.93,B,RENT,9.33
10000,19.42,D,RENT,27.74
2400,7.96,A,MORTGAGE,23.01
17000,13.59,C,MORTGAGE,10.83
24000,12.61,C,OWN,39.63
20000,19.03,D,MORTGAGE,18.09
30000,16.01,C,RENT,7.08
3600,6.72,A,OWN,2.54
20000,6.07,A,MORTGAGE,25.33
8000,15.05,C,MORTGAGE,23.92
16000,6.07,A,RENT,29.72
24000,13.58,C,MORTGAGE,22.66
2000,10.42,B,RENT,5.68
2000,11.98,B,RENT,9.73
6500,9.43,B,RENT,2.78
8000,16.02,C,RENT,39.07
7000,18.06,D,RENT,25.43
25000,12.61,C,RENT,2.47
15000,14.07,C,MORTGAGE,22.92
35000,10.42,B,RENT,27.71
26000,10.42,B,RENT,14.04
12000,17.47,D,MORTGAGE,11.79
10000,10.91,B,RENT,30.54
15000,5.32,A,MORTGAGE,18.63
14000,9.44,B,MORTGAGE,18.39
15000,9.44,B,MORTGAGE,27.84
10000,14.08,C,RENT,9.24
5000,7.35,A,RENT,14.31
28125,12.62,C,RENT,14.39
10000,15.04,C,RENT,22.04
10000,9.92,B,MORTGAGE,0
40000,10.9,B,MORTGAGE,15.81
10000,6.72,A,RENT,27.6
8000,5.32,A,OWN,29.12
35000,11.99,B,RENT,7.57
20000,5.32,A,MORTGAGE,10.67
9000,10.41,B,OWN,31.61
20000,14.07,C,RENT,8.7
3000,6.07,A,RENT,15.05
8000,9.93,B,RENT,28.96
10000,11.99,B,OWN,2.28
5000,6.71,A,RENT,12.9
15000,5.31,A,MORTGAGE,16.57
10000,13.59,C,RENT,18.03
40000,10.9,B,OWN,10.92
3000,12.62,C,RENT,5.59
1500,10.42,B,RENT,27.02
28000,15.05,C,MORTGAGE,24.38
8000,6.71,A,RENT,11.45
20000,21.45,D,RENT,28.8
40000,9.44,B,MORTGAGE,11.12
11000,11.99,B,MORTGAGE,13.47
3300,11.99,B,RENT,16.93
15000,6.07,A,MORTGAGE,14.43
11500,5.31,A,OWN,16.08
16500,6.07,A,OWN,33.23
15000,19.42,D,RENT,23.73
35000,21.85,D,RENT,14.37
4400,14.08,C,MORTGAGE,21.32
19000,18.06,D,MORTGAGE,18.66
3125,10.91,B,OWN,27.2
20000,9.44,B,MORTGAGE,24.38
20000,12.62,C,OWN,17.23
10000,9.44,B,OWN,7.75
35000,6.08,A,MORTGAGE,6.21
14000,11.98,B,RENT,26.88
16000,9.92,B,OWN,19.44
8000,13.59,C,MORTGAGE,19.2
7000,10.41,B,RENT,16.31
24000,9.93,B,MORTGAGE,42.64
10000,7.97,A,MORTGAGE,17.49
2500,19.42,D,RENT,32.32
25000,18.45,D,MORTGAGE,18.17
5000,6.72,A,MORTGAGE,7.2
9000,10.91,B,MORTGAGE,3.48
5000,17.47,D,RENT,20.73
10000,10.41,B,RENT,9.37
1200,6.72,A,MORTGAGE,74.38
10000,9.44,B,MORTGAGE,15.28
6000,12.61,C,RENT,9.09
2500,7.96,A,RENT,3.67
32000,10.9,B,OWN,2.7
28000,21.85,D,MORTGAGE,16.07
10000,7.96,A,RENT,9.82
35000,9.43,B,MORTGAGE,21.08
25000,15.04,C,MORTGAGE,22.18
15000,14.07,C,MORTGAGE,13.72
16000,10.9,B,MORTGAGE,15.3
20000,6.08,A,MORTGAGE,13.82
10000,9.93,B,RENT,15.94
10000,12.61,C,RENT,11.52
15000,10.42,B,MORTGAGE,18.48
11100,30.17,F,MORTGAGE,22.6
24000,19.42,D,RENT,21.22
1950,9.43,B,OWN,20.58
15000,17.47,D,MORTGAGE,7.2
8000,7.34,A,RENT,16.62
8500,7.96,A,RENT,15.38
12000,13.58,C,MORTGAGE,17.62
24000,9.43,B,OWN,10.85
12475,21.85,D,MORTGAGE,36.25
11500,21.85,D,RENT,27.28
1000,22.91,E,RENT,1.25
15000,12.61,C,MORTGAGE,0.75
13250,9.93,B,MORTGAGE,12.08
10000,6.72,A,MORTGAGE,13.75
18000,19.42,D,RENT,8.59
2400,9.92,B,MORTGAGE,18.89
21700,14.07,C,MORTGAGE,19.97
36525,10.42,B,RENT,37.06
5000,7.35,A,MORTGAGE,17.61
28000,6.71,A,MORTGAGE,27.51
35000,12.62,C,MORTGAGE,21.05
40000,21.45,D,MORTGAGE,38.45
14000,16.01,C,MORTGAGE,17.96
20000,16.02,C,MORTGAGE,6.27
7000,10.9,B,RENT,11.36
20000,11.99,B,MORTGAGE,9.11
40000,7.34,A,RENT,5.44
10000,12.61,C,RENT,15.46
